"","x"
"1",10198754.5735039
"2",8608218.70813254
"3",7261364.17626302
"4",6312914.90435045
"5",6178809.82740688
"6",8145291.28095557
"7",9246712.34801763
"8",9926446.53474851
"9",8658877.21383224
"10",6298908.93713901
"11",6282462.59482265
"12",8090224.41496808
